date,time,p_open,p_high,p_low,p_close,volumn,oi
20181106,15:05:00,99.77,99.77,99.77,99.77,1,2380
20181106,15:07:00,99.77,99.77,99.77,99.77,1,2380
20181106,15:14:00,99.77,99.78,99.77,99.78,2,2379
20181107,09:15:00,99.755,99.755,99.755,99.755,2,2379
20181107,09:16:00,99.795,99.795,99.795,99.795,10,2370
20181107,09:17:00,99.77,99.795,99.77,99.795,14,2358
20181107,09:18:00,99.77,99.77,99.77,99.77,2,2358
20181107,09:19:00,99.765,99.775,99.765,99.775,5,2358
20181107,09:20:00,99.77,99.77,99.765,99.765,8,2357
20181107,09:21:00,99.765,99.785,99.765,99.765,15,2347
20181107,09:22:00,99.765,99.765,99.765,99.765,13,2345
20181107,09:23:00,99.755,99.765,99.755,99.765,7,2345
20181107,09:24:00,99.765,99.77,99.765,99.77,21,2338
20181107,09:25:00,99.77,99.775,99.765,99.77,8,2332
20181107,09:26:00,99.765,99.765,99.765,99.765,1,2332
20181107,09:27:00,99.755,99.755,99.75,99.75,7,2329
20181107,09:28:00,99.755,99.755,99.73,99.73,11,2327
20181107,09:29:00,99.735,99.75,99.735,99.75,6,2326
20181107,09:32:00,99.755,99.755,99.755,99.755,3,2325
20181107,09:33:00,99.75,99.75,99.75,99.75,20,2305
20181107,09:34:00,99.74,99.74,99.74,99.74,17,2294
20181107,09:35:00,99.735,99.74,99.735,99.735,13,2285
20181107,09:36:00,99.735,99.735,99.73,99.73,10,2287
20181107,09:37:00,99.73,99.73,99.73,99.73,3,2286
20181107,09:41:00,99.735,99.735,99.735,99.735,5,2281
20181107,09:42:00,99.735,99.735,99.735,99.735,10,2271
20181107,09:43:00,99.735,99.745,99.73,99.73,29,2250
20181107,09:44:00,99.73,99.73,99.73,99.73,6,2246
20181107,09:47:00,99.735,99.735,99.73,99.73,20,2232
20181107,09:48:00,99.72,99.72,99.72,99.72,1,2232
20181107,09:49:00,99.715,99.73,99.715,99.73,21,2212
20181107,10:05:00,99.745,99.745,99.745,99.745,3,2214
20181107,10:07:00,99.745,99.745,99.745,99.745,8,2214
20181107,10:08:00,99.75,99.76,99.75,99.76,16,2198
20181107,10:09:00,99.76,99.76,99.76,99.76,3,2195
20181107,10:10:00,99.765,99.765,99.765,99.765,3,2192
20181107,10:11:00,99.77,99.77,99.76,99.765,7,2187
20181107,10:12:00,99.775,99.78,99.775,99.78,4,2184
20181107,10:13:00,99.77,99.77,99.77,99.77,4,2180
20181107,10:14:00,99.77,99.77,99.765,99.765,2,2180
20181107,10:15:00,99.765,99.765,99.765,99.765,1,2179
20181107,10:18:00,99.76,99.76,99.76,99.76,4,2175
20181107,10:21:00,99.76,99.76,99.76,99.76,1,2174
20181107,10:27:00,99.76,99.76,99.76,99.76,1,2173
20181107,10:30:00,99.77,99.77,99.77,99.77,2,2173
20181107,10:41:00,99.775,99.775,99.775,99.775,2,2173
20181107,10:42:00,99.78,99.78,99.77,99.77,9,2170
20181107,10:43:00,99.77,99.77,99.77,99.77,1,2169
20181107,10:44:00,99.775,99.78,99.775,99.78,2,2169
20181107,10:46:00,99.78,99.78,99.78,99.78,1,2168
20181107,10:48:00,99.785,99.785,99.785,99.785,2,2166
20181107,10:51:00,99.785,99.785,99.785,99.785,2,2165
20181107,10:52:00,99.78,99.78,99.78,99.78,1,2164
20181107,10:53:00,99.785,99.785,99.785,99.785,1,2164
20181107,10:57:00,99.79,99.79,99.785,99.785,3,2164
20181107,10:59:00,99.8,99.8,99.785,99.785,16,2149
20181107,11:00:00,99.8,99.8,99.8,99.8,3,2147
20181107,11:01:00,99.805,99.805,99.805,99.805,12,2135
20181107,11:02:00,99.81,99.81,99.81,99.81,4,2133
20181107,11:03:00,99.81,99.81,99.81,99.81,2,2133
20181107,11:04:00,99.81,99.815,99.81,99.815,5,2133
20181107,11:05:00,99.815,99.825,99.815,99.825,3,2132
20181107,11:08:00,99.815,99.815,99.81,99.81,4,2136
20181107,11:18:00,99.805,99.805,99.805,99.805,1,2136
20181107,11:23:00,99.815,99.815,99.815,99.815,1,2135
20181107,11:25:00,99.815,99.815,99.815,99.815,1,2135
20181107,11:29:00,99.825,99.825,99.825,99.825,1,2135
20181107,13:08:00,99.785,99.785,99.785,99.785,15,2125
20181107,13:13:00,99.825,99.825,99.825,99.825,1,2125
20181107,13:38:00,99.825,99.825,99.825,99.825,1,2124
20181107,13:41:00,99.815,99.815,99.815,99.815,1,2123
20181107,13:43:00,99.825,99.825,99.825,99.825,6,2117
20181107,13:44:00,99.83,99.83,99.83,99.83,1,2116
20181107,13:45:00,99.83,99.83,99.825,99.825,7,2114
20181107,13:47:00,99.83,99.83,99.83,99.83,4,2110
20181107,13:49:00,99.83,99.83,99.83,99.83,1,2110
20181107,13:52:00,99.84,99.84,99.84,99.84,2,2109
20181107,13:56:00,99.84,99.84,99.835,99.835,7,2103
